,연도,입학정원,모집인원_계,모집인원_정원내,모집인원_정원외,지원자_계,지원자_정원내,지원자_정원외,입학자_계,입학자_정원내_계,입학자_정원내_남,입학자_정원내_여,입학자_정원외_계,입학자_정원외_남,입학자_정원외_여,지역
0,2009-01-01,671884,803936,669315,134621,4182669,3920582,262087,682119,612097,313566,298531,70022,35864,34158,전체
1,2010-01-01,668364,809549,668745,140804,4845518,4526486,319032,698628,620321,312307,308014,78307,39602,38705,전체
2,2011-01-01,666668,807959,668278,139681,5695255,5364396,330859,699852,623627,312863,310764,76225,39770,36455,전체
3,2012-01-01,654841,796666,658045,138621,5706011,5370730,335281,684100,606613,307888,298725,77487,40331,37156,전체
4,2013-01-01,635645,760491,635016,125475,4803151,4545963,257188,656241,588681,297623,291058,67560,33712,33848,전체
5,2014-01-01,639199,776252,639927,136325,4791353,4523592,267761,657957,585609,294221,291388,72348,35697,36651,전체
6,2015-01-01,620727,752292,620937,131355,4906226,4636239,269987,639730,569540,283023,286517,70190,34021,36169,전체
7,2016-01-01,605806,744338,606682,137656,4839424,4581696,257728,624446,552228,270541,281687,72218,34783,37435,전체
8,2017-01-01,595472,732459,595056,137403,4758971,4496320,262651,606784,535412,263370,272042,71372,34127,37245,전체
9,2018-01-01,584933,727953,585753,142200,4789907,4506344,283563,604469,528892,258845,270047,75577,36060,39517,전체
10,2019-01-01,580478,723329,580918,142411,4919171,4630683,288488,603208,525080,259565,265515,78128,37631,40497,전체
11,2020-01-01,576295,738849,575456,163393,4564178,4268852,295326,594131,512962,254430,258532,81169,39041,42128,전체
12,2021-01-01,569846,738518,570402,168116,3915429,3625048,290381,560421,481319,240322,240997,79102,37252,41850,전체
13,2022-01-01,558563,723816,558248,177530,4831626,4585225,290725,560170,488762,235384,240888,79992,37495,49244,전체
14,2023-01-01,550244,715014,549479,188901,4820528,4578687,289568,548956,477765,230505,231041,80487,37428,53664,전체
15,2024-01-01,542048,706318,540797,200875,4809430,4572149,288428,537743,466768,225727,224853,80979,37361,58482,전체
16,2025-01-01,533974,697729,532202,213477,4798333,4565611,287303,526530,455771,221049,215132,81470,37295,63732,전체
17,2026-01-01,526021,689244,523694,226732,4787235,4559073,286194,515317,444774,216467,208817,81958,37231,69453,전체
18,2027-01-01,518186,680862,515270,240664,4776138,4552536,285101,504103,433777,211980,199223,82445,37166,75687,전체
19,2028-01-01,510467,672582,506930,255301,4765040,4545998,284022,492890,422780,207586,192782,82929,37103,82482,전체
20,2029-01-01,502864,664403,498674,270668,4753943,4539460,282958,481677,411783,203284,183314,83412,37040,89886,전체
21,2030-01-01,495374,656323,490500,286792,4742845,4532922,281909,470464,400786,199070,176747,83892,36978,97955,전체
22,2031-01-01,487995,648341,482408,303700,4731748,4526384,280874,459251,389789,194944,167405,84370,36917,106748,전체
23,2032-01-01,480727,640457,474398,321422,4720650,4519846,279853,448037,378792,190904,160712,84847,36857,116331,전체
24,2033-01-01,473566,632668,466467,339984,4709553,4513308,278846,436824,367795,186947,151496,85321,36797,126774,전체
25,2034-01-01,466513,624974,458615,359417,4698455,4506770,277853,425611,356799,183072,144677,85793,36738,138154,전체
26,2035-01-01,459564,617374,450842,379749,4687358,4500232,276873,414398,345802,179277,135587,86263,36679,150556,전체
27,2036-01-01,452719,609866,443147,401011,4676260,4493694,275906,403184,334805,175562,128642,86730,36621,164071,전체
28,2037-01-01,445976,602449,435529,423233,4665163,4487157,274953,391971,323808,171923,119678,87196,36564,178799,전체
29,2038-01-01,439333,595123,427986,446445,4654065,4480619,274012,380758,312811,168359,112607,87659,36508,194850,전체
30,2039-01-01,432789,587885,420520,470679,4642968,4474081,273083,369545,301814,164870,103768,88120,36452,212341,전체
31,2040-01-01,426343,580736,413128,495966,4631870,4467543,272167,358332,290817,161452,96572,88579,36397,231403,전체
32,2041-01-01,419992,573674,405809,522338,4620772,4461005,271263,347118,279820,158106,87859,89036,36343,252175,전체
33,2042-01-01,413737,566697,398564,549828,4609675,4454467,270372,335905,268823,154829,80537,89490,36289,274812,전체
34,2043-01-01,407574,559806,391392,578468,4598577,4447929,269492,324692,257826,151620,71950,89942,36235,299482,전체
35,2044-01-01,401503,552998,384291,608290,4587480,4441391,268623,313479,246829,148477,64502,90392,36183,326366,전체
36,2045-01-01,395523,546273,377261,639328,4576382,4434853,267766,302265,235832,145400,56041,90840,36131,355663,전체
37,2046-01-01,389632,539629,370302,671616,4565285,4428315,266921,291052,224835,142386,48467,91285,36079,387590,전체
38,2047-01-01,383828,533067,363412,705187,4554187,4421777,266086,279839,213838,139435,40132,91728,36028,422383,전체
39,2048-01-01,378111,526584,356591,740075,4543090,4415240,265262,268626,202841,136545,32432,92169,35978,460300,전체
40,2049-01-01,372479,520180,349838,776314,4531992,4408702,264450,257413,191844,133715,24223,92607,35928,501620,전체
41,2050-01-01,366931,513855,343153,813938,4520895,4402164,263647,246199,180847,130943,16397,93043,35879,546650,전체
42,2009-01-01,27317,31761,27410,4351,110345,101910,8435,26864,24171,14444,9727,2693,1634,1059,강원
43,2010-01-01,26941,31452,27075,4377,131926,121076,10850,28051,25126,14673,10453,2925,1742,1183,강원
44,2011-01-01,27058,31433,27119,4314,156733,144795,11938,28285,25525,14876,10649,2760,1636,1124,강원
45,2012-01-01,26717,30699,26737,3962,155947,144487,11460,27294,24671,14422,10249,2623,1570,1053,강원
46,2013-01-01,25217,28314,25044,3270,138339,129377,8962,26638,24390,14135,10255,2248,1268,980,강원
47,2014-01-01,24738,27998,24678,3320,129735,120862,8873,26281,23967,13926,10041,2314,1326,988,강원
48,2015-01-01,24405,27472,24428,3044,129988,122459,7529,25794,23719,13709,10010,2075,1171,904,강원
49,2016-01-01,23208,26408,23223,3185,129343,122288,7055,24519,22383,12720,9663,2136,1199,937,강원
50,2017-01-01,22535,25666,22494,3172,128767,121250,7517,23754,21626,12076,9550,2128,1199,929,강원
51,2018-01-01,21126,24471,21210,3261,127836,119986,7850,23068,20827,11542,9285,2241,1188,1053,강원
52,2019-01-01,20984,24306,21063,3243,131122,123184,7938,22814,20591,11365,9226,2223,1118,1105,강원
53,2020-01-01,20383,23284,20449,2835,122100,114861,7239,21893,19936,11127,8809,1957,947,1010,강원
54,2021-01-01,19736,22311,19813,2498,107540,100167,7373,19246,17421,9686,7735,1825,845,980,강원
55,2022-01-01,19309,21786,19399,2409,129203,123484,6930,19315,17340,9434,7243,1825,890,976,강원
56,2023-01-01,18847,21085,18931,2323,128669,123343,6996,18633,16750,9111,6714,1766,845,972,강원
57,2024-01-01,18397,20413,18473,2240,128135,123202,6586,17951,16161,8793,6291,1708,802,969,강원
